도로명주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),156.0,2251.0,2405.0,2533.0,2507.0,2735.0,2957.0,2874.0,3669.0,3225.0,3279.0,5.0,154.0,683.0,20200507
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),161.0,1930.0,1681.0,2049.0,1880.0,2448.0,3600.0,3881.0,3003.0,2554.0,3890.0,4.0,88.0,898.0,20200507
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),156.0,2289.0,2484.0,2698.0,2820.0,3206.0,3477.0,3558.0,3573.0,3007.0,3677.0,10.0,186.0,710.0,20200507
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),666.0,2684.0,3291.0,3264.0,3221.0,3341.0,3416.0,3667.0,3528.0,3025.0,3732.0,8.0,225.0,1202.0,20200512
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),666.0,4138.0,3880.0,3763.0,3766.0,3852.0,3607.0,3692.0,3890.0,3500.0,3826.0,8.0,255.0,1202.0,20200512
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),666.0,1585.0,1944.0,2400.0,2539.0,2996.0,3622.0,3950.0,3573.0,2956.0,4124.0,5.0,157.0,1308.0,20200512
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),666.0,7503.0,6344.0,6119.0,6187.0,6464.0,6311.0,6454.0,5491.0,4910.0,6428.0,9.0,255.0,1202.0,20200512
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),666.0,2597.0,2616.0,2868.0,2750.0,3280.0,4496.0,4996.0,3724.0,2915.0,5201.0,8.0,177.0,1202.0,20200512
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),666.0,2629.0,2792.0,2805.0,2882.0,2961.0,2811.0,2924.0,3076.0,2673.0,3001.0,8.0,193.0,1202.0,20200512
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),666.0,1605.0,1792.0,2272.0,2375.0,2849.0,3654.0,3935.0,3394.0,2864.0,3947.0,5.0,140.0,1325.0,20200512
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),570.0,2241.0,2359.0,2478.0,2457.0,2692.0,2854.0,3018.0,3274.0,2948.0,3087.0,5.0,149.0,2108.0,20200522
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),576.0,1930.0,2013.0,2293.0,2255.0,2660.0,3822.0,4197.0,3646.0,2903.0,4354.0,5.0,125.0,2305.0,20200522
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),570.0,4130.0,3927.0,3585.0,3468.0,3506.0,3199.0,3218.0,3574.0,3080.0,3131.0,8.0,250.0,2025.0,20200522
